         3881116 function calls (3838170 primitive calls) in 165.909 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1500   42.557    0.028   42.557    0.028 {skimage.feature._hoghistogram.hog_histograms}
       32   28.125    0.879   28.125    0.879 {method 'poll' of 'select.poll' objects}
    67500   17.642    0.000   26.354    0.000 _hog.py:8(_hog_normalize_block)
      500   15.033    0.030  105.858    0.212 blind_spot.py:50(find_cars)
      520    7.473    0.014    7.473    0.014 {method 'astype' of 'numpy.ndarray' objects}
     1500    5.141    0.003    5.490    0.004 function_base.py:1502(gradient)
   141298    4.986    0.000    4.986    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      305    4.065    0.013    4.065    0.013 {method 'acquire' of '_thread.lock' objects}
   135000    3.024    0.000    8.712    0.000 fromnumeric.py:1730(sum)
     1500    2.856    0.002   78.791    0.053 _hog.py:25(hog)
      500    2.305    0.005    2.305    0.005 {resize}
      500    1.867    0.004    1.867    0.004 {cvtColor}
    14892    1.482    0.000    1.584    0.000 {built-in method numpy.core.multiarray.array}
        4    1.446    0.361    6.310    1.577 rng_mrg.py:763(get_substream_rstates)
  182/135    1.233    0.007    1.993    0.015 {built-in method _imp.create_dynamic}
       10    0.721    0.072  106.835   10.684 blind_spot.py:256(process_frame_for_video)
387829/387823    0.715    0.000    0.739    0.000 {built-in method builtins.isinstance}
      840    0.684    0.001    0.684    0.001 {built-in method marshal.loads}
       60    0.621    0.010    0.621    0.010 {imshow}
32076/31652    0.541    0.000    0.971    0.000 utils.py:193(__eq__)
   136466    0.525    0.000    5.402    0.000 _methods.py:31(_sum)
     2021    0.473    0.000    0.888    0.000 graph.py:1014(io_toposort)
2444/2434    0.457    0.000    1.082    0.000 {built-in method builtins.__build_class__}
       60    0.432    0.007    0.432    0.007 {waitKey}
        8    0.404    0.051    0.404    0.051 function_module.py:743(__call__)
       60    0.395    0.007    0.443    0.007 mmalobj.py:1208(enable)
     1500    0.389    0.000   79.180    0.053 blind_spot.py:27(get_hog_features)
       80    0.373    0.005    8.721    0.109 opt.py:2379(apply)
   1098/1    0.346    0.000  165.927  165.927 {built-in method builtins.exec}
167038/166650    0.337    0.000    0.540    0.000 {built-in method builtins.hasattr}
   180184    0.311    0.000    0.321    0.000 {built-in method builtins.getattr}
      569    0.288    0.001    0.809    0.001 fg.py:361(__import__)
      318    0.283    0.001    0.634    0.002 doccer.py:12(docformat)
    18025    0.264    0.000    0.264    0.000 {built-in method posix.lstat}
     2943    0.255    0.000    0.522    0.000 utils.py:14(simple_extract_stack)
     9803    0.236    0.000    0.271    0.000 graph.py:378(__init__)
        6    0.228    0.038    0.228    0.038 mmalobj.py:2171(enable)
       63    0.227    0.004    0.227    0.004 {built-in method posix.read}
       53    0.217    0.004    0.270    0.005 destroyhandler.py:33(_contains_cycle)
     6081    0.203    0.000    0.203    0.000 {built-in method posix.stat}
2336/1244    0.193    0.000    0.872    0.001 posixpath.py:378(_joinrealpath)
     2097    0.184    0.000    0.702    0.000 <frozen importlib._bootstrap_external>:1223(find_spec)
       17    0.184    0.011    0.184    0.011 {built-in method _posixsubprocess.fork_exec}
    19494    0.172    0.000    0.289    0.000 posixpath.py:71(join)
13420/12778    0.172    0.000    0.447    0.000 utils.py:187(__hash__)
    74930    0.166    0.000    0.239    0.000 opt.py:1075(__hash__)
   219889    0.165    0.000    0.165    0.000 {method 'append' of 'list' objects}
       10    0.160    0.016    0.161    0.016 {built-in method scipy.ndimage._ni_label._label}
    30502    0.156    0.000    7.747    0.000 opt.py:1989(process_node)
       81    0.154    0.002    0.290    0.004 {built-in method _pickle.load}
     2989    0.147    0.000    1.299    0.000 fg.py:577(execute_callbacks)
     6065    0.137    0.000    0.214    0.000 copy.py:269(_reconstruct)
     3000    0.134    0.000    0.220    0.000 fromnumeric.py:2584(ndim)
    75438    0.132    0.000    0.132    0.000 {built-in method time.time}
    35733    0.130    0.000    0.135    0.000 graph.py:1045(<listcomp>)
      391    0.128    0.000    0.143    0.000 sre_compile.py:248(_optimize_charset)
     4247    0.128    0.000    0.128    0.000 {built-in method numpy.core.multiarray.zeros}
     6589    0.124    0.000    0.170    0.000 ordered_set.py:102(add)
5718/2132    0.120    0.000    0.442    0.000 opt.py:4652(get_num_denum)
      977    0.117    0.000    0.136    0.000 {built-in method io.open}
     7229    0.115    0.000    0.115    0.000 {built-in method __new__ of type object at 0x3e5440}
     3968    0.114    0.000    0.151    0.000 graph.py:96(__init__)
    65572    0.112    0.000    0.153    0.000 utils.py:195(<genexpr>)
      867    0.110    0.000    0.110    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
